subject,body,urgency
Network firewall outage,Firewall is blocking outbound traffic causing service disruptions. Requires immediate fix.,Urgent
Project document update,Please upload the revised project plan to the shared drive when convenient.,Normal
Gym room suggestion,It would be nice to add a treadmill to the office gym next quarter.,Low
Customer data mismatch,Customer records are showing incorrect account details after last update. Needs urgent correction.,Urgent
Email signature change,Please update your email signatures as per the new branding guidelines.,Normal
Office gift ideas,Looking for suggestions for employee welcome kits next month.,Low
Critical patch missing,Security patch was not applied on several servers. Needs urgent installation.,Urgent
Calendar access request,I need access to the shared marketing calendar for scheduling events.,Normal
Desk rearrangement,We should rearrange seating in the open workspace for better collaboration.,Low
Data center overheating,Temperature sensors show high heat levels in the data center. Immediate cooling required.,Urgent
Project handover,Attached are the handover notes for the upcoming transition.,Normal
Kitchen supplies,We should stock more utensils in the pantry sometime next week.,Low
Service outage notification,SMS gateway is down causing delays in OTP delivery. Needs urgent fix.,Urgent
Visitor approval,Please approve the visitor pass for tomorrow's client meeting.,Normal
Missing stationery,We are short on notepads and pens in the meeting rooms. Can we restock soon?,Normal
Office garden cleanup,"The plants in the courtyard need trimming, maybe next weekend.",Low
Unauthorized login attempt,Multiple failed login attempts detected on admin accounts. Immediate investigation needed.,Urgent
File format issue,Unable to open the shared file due to version mismatch. Please resend in compatible format.,Normal
Team photo planning,We are planning a team photo session next Thursday.,Low
High CPU usage,Servers are running at 95% CPU and causing slow response times. Needs urgent scaling.,Urgent
Travel advance request,Requesting travel advance for the conference trip next month.,Normal
Old magazines removal,We can remove old magazines from the lounge area this weekend.,Low
Data leak warning,Unusual data transfer detected from internal systems. Needs immediate containment.,Urgent
Contract renewal reminder,Vendor contract is due for renewal next month. Please review terms.,Normal
Office chair replacement,Several chairs in the meeting room are broken. Can be replaced when possible.,Low
Server backup stalled,Nightly backup froze midway and did not complete. Needs urgent restart.,Urgent
Meeting minutes,Attached are the minutes from today's review meeting.,Normal
Notice board update,We should refresh the notice board with new posters soon.,Low
API authentication failure,"API authentication tokens are being rejected, blocking integrations. Needs urgent fix.",Urgent
Training confirmation,Please confirm your attendance for the upcoming leadership workshop.,Normal
Storage room labels,We should add labels to the storage shelves next time we organize.,Low
DNS resolution issue,Internal DNS is failing to resolve service endpoints. Needs immediate attention.,Urgent
Form submission issue,Unable to submit the leave request form due to a validation error. Please check.,Normal
Coffee beans stock,We are running low on coffee beans and may need to restock soon.,Low
