"subject","body"
"Teams vs Zoom","Are we officially switching to Teams? I have invites on both platforms and it's confusing."
"Project X timeline","We are slipping on the timeline for Project X. We need to cut scope if we want to hit the launch date."
"Congrats to the sales team!","Big shout out to the sales team for closing the massive deal with TechCorp! Drinks on Friday?"
"Noise cancelling headphones","Is it within policy to expense noise-cancelling headphones? The open office is getting really loud."
"Server rack cleanup","The cabling in Rack 4 is a spaghetti mess. Planning a cleanup this Saturday. Anyone want to help?"
"Wrong attachment","Oops, ignore the previous email. I attached the wrong file. Here is the correct version."
"API Rate Limiting","We are hitting the rate limits on the Twitter API. The social feed widget is blank. Can we upgrade the plan?"
"Visitor Wi-Fi password","Hey, what's the current password for the guest Wi-Fi? I forgot it again."
"Flu shots","HR is organizing free flu shots in the conference room next Tuesday. Sign up sheet is at reception."
"Need vector logo","Does anyone have the high-res vector file of the company logo? The one on the drive is a pixelated JPEG."
"System maintenance notice","Scheduled maintenance: The ERP system will be down from 2 AM to 4 AM on Sunday."
"Missing invoice #402","Vendor is chasing payment for invoice #402. Accounts Payable says they never received it. Can you resend?"
"App crashing on iOS 17"," QA just found a crash that only happens on iOS 17. Looks like a memory leak. Priority High."
"Reference check","A former employee, John Doe, listed you as a reference. Are you comfortable taking a call about him?"
"Broken link in newsletter","The marketing newsletter just went out and the main CTA link is 404ing. Can we set up a redirect fast?"
"Team building activity","Poll: For the team offsite, do we prefer bowling or an escape room?"
"Access to Analytics","I need read-access to the production Google Analytics property for the monthly report. My email is attached."
"Suspicious login - Russia","Security Alert: Successful login detected from an IP in Russia on the admin account. Verifying if this is a VPN or a breach."
"Monitor flickering","My external monitor keeps going black for a few seconds. I tried changing cables but it persists."
"Courier package","Reception: A package arrived for you, looks like hardware. Please pick it up."
"Re: Budget cuts","I understand we need to save money, but cutting the cloud budget will impact site performance. Can we reconsider?"
"Treadmill desk","The treadmill desk is making a squeaking noise. It's distracting. Can we get some WD-40?"
"API Documentation","The API docs on the wiki are severely outdated. I just wasted 2 hours trying to use a deprecated endpoint."
"Meeting room squatters","People are staying in Conference Room A way past their booking time. Can we enforce the schedule?"
"Holiday gift swap","We are organizing a Secret Santa! Limit is $20. Reply if you want to join."
"VPN certificate error","Getting a 'certificate verify failed' error when connecting to the VPN. Is there a new config file?"
"Emergency contact update","Please ensure your emergency contact details are up to date in the HR portal."
"Cloud storage full","We've reached 90% of our allocated S3 storage. We need to archive old logs or buy more space."
"Recycling bins","Please stop putting food waste in the paper recycling bins. It ruins the whole batch."
"Beta testing help","We need 5 volunteers to test the new mobile app build before we ship to the store. Any takers?"
"Forgot my badge... again","I'm stuck in the lobby. I left my badge at home. Can someone come sign me in?"
"Staging environment down","I can't deploy to Staging. It says 'Disk Full'. Can DevOps clean up the old docker images?"
"Vendor meeting agenda","Here is the agenda for the call with the software vendor. Let me know if I missed anything."
"Incorrect billing address","The invoice has the old office address. Can you ask them to update it and reissue?"
"SQL Injection attempt","WAF blocked a massive SQL injection attack last night. Logs look clean but we should review the code."
"Retrospective notes","Thanks for the honest feedback in the retro. I've compiled the action items here."
